"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","landmark"
"146",145,0,0,0.00869565217391304,0,0.0347826086956522,0.0260869565217391,0,0,0.165217391304348,0,0,0,0.00869565217391304,0.165217391304348,0,0,0.443478260869565,0,0,0.147826086956522,"syllabus146","1964-035","1964-035-01","1964-035-01-01","1964-035-01-01-01","1/18/1965",1,"379 U.S. 559",1964,1408,"Warren","49","COX v. LOUISIANA","10/21/1964","",223,NA,28,22,2,NA,NA,0,302,22,300,22,0,1,2,1,1,3,0,1,0,0,30150,3,2,0,2,NA,2,200,"",96,90,1,5,4,"No"
"147",146,0,0,0,0,0,0,0,0.21259842519685,0,0,0,0.582677165354331,0,0.0393700787401575,0.0078740157480315,0,0.015748031496063,0.141732283464567,0,0,"syllabus147","1964-046","1964-046-01","1964-046-01-01","1964-046-01-01-01","3/1/1965",1,"380 U.S. 51",1964,1408,"Warren","69","FREEDMAN v. MARYLAND","11/19/1964","",242,NA,28,25,2,NA,NA,0,302,25,300,25,0,1,2,1,3,3,0,1,0,0,30010,3,2,0,2,NA,2,200,"",92,90,1,9,0,"No"
"148",147,0,0,0.241176470588235,0,0,0,0.0235294117647059,0.179411764705882,0,0,0,0.111764705882353,0,0.211764705882353,0,0,0.229411764705882,0,0.00294117647058824,0,"syllabus148","1964-077","1964-077-01","1964-077-01-01","1964-077-01-01-01","4/26/1965",1,"380 U.S. 479",1964,1408,"Warren","52","DOMBROWSKI et al. v. PFISTER, CHAIRMAN, JOINT LEGISLATIVE COMMITTEE ON UNAMERICAN ACTIVITIES OF THE LOUISIANA LEGISLATURE, et al.","1/25/1965","",223,NA,19,22,2,NA,NA,1,75,NA,75,NA,0,1,9,1,3,4,0,1,0,0,30010,3,2,0,2,NA,2,201,"",92,90,1,5,2,"No"
"149",148,0,0,0.7125,0.00416666666666667,0,0,0,0.2375,0,0,0,0.0166666666666667,0.00416666666666667,0.0208333333333333,0,0,0,0,0,0.00416666666666667,"syllabus149","1964-078","1964-078-01","1964-078-01-01","1964-078-01-01-01","4/26/1965",6,"380 U.S. 503",1964,1408,"Warren","44","AMERICAN COMMITTEE FOR PROTECTION OF FOREIGN BORN v. SUBVERSIVE ACTIVITIES CONTROL BOARD","12/8/1964","",211,NA,403,NA,1,103,NA,0,32,NA,32,NA,0,12,2,2,1,5,0,1,0,0,30060,3,2,1,5,4,3,369,"",NA,90,1,5,3,"No"
"150",149,0,0,0.00460829493087558,0,0,0,0.451612903225806,0.133640552995392,0.119815668202765,0,0,0.0184331797235023,0.00921658986175115,0.262672811059908,0,0,0,0,0,0,"syllabus150","1964-095","1964-095-01","1964-095-01-01","1964-095-01-01-01","5/3/1965",1,"381 U.S. 1",1964,1408,"Warren","86","ZEMEL v. RUSK, SECRETARY OF STATE, et al.","3/1/1965","",244,NA,328,NA,2,28,NA,1,53,NA,53,NA,1,1,9,1,1,2,0,0,0,0,30060,3,1,0,4,1,6,600,"22 U.S.C. § 211",90,90,1,6,3,"No"
"151",150,0.103896103896104,0.012987012987013,0,0,0,0.012987012987013,0,0.25974025974026,0,0,0,0.324675324675325,0,0.285714285714286,0,0,0,0,0,0,"syllabus151","1964-111","1964-111-01","1964-111-01-01","1964-111-01-01-01","5/24/1965",1,"381 U.S. 301",1964,1408,"Warren","491","LAMONT, DBA BASIC PAMPHLETS v. POSTMASTER GENERAL","4/26/1965","",211,NA,412,NA,2,112,NA,1,96,NA,96,NA,1,1,NA,1,2,3,0,1,0,0,30010,3,2,0,1,NA,6,600,"39 U.S.C. § 4008",81,90,1,8,0,"Yes"
"152",151,0,0.0547945205479452,0.0136986301369863,0.0136986301369863,0,0,0,0.438356164383562,0,0,0,0.0410958904109589,0,0.205479452054795,0,0,0.232876712328767,0,0,0,"syllabus152","1964-134","1964-134-01","1964-134-01-01","1964-134-01-01-01","6/7/1965",2,"381 U.S. 741",1964,1408,"Warren","587 M","CAMERON et al. v. JOHNSON, GOVERNOR OF MISSISSIPPI, et al.","","",223,NA,19,29,2,NA,NA,0,85,NA,85,NA,0,1,NA,1,1,5,0,1,0,0,30010,3,2,0,3,NA,NA,NA,"",NA,90,1,5,4,"No"
"153",152,0,0.00403225806451613,0.495967741935484,0,0,0.00403225806451613,0.258064516129032,0.173387096774194,0,0.00403225806451613,0.00403225806451613,0,0,0.0524193548387097,0,0,0,0,0.00403225806451613,0,"syllabus153","1965-010","1965-010-01","1965-010-01-01","1965-010-01-01-01","11/15/1965",1,"382 U.S. 70",1965,1409,"Warren","3","ALBERTSON et al. v. SUBVERSIVE ACTIVITIES CONTROL BOARD","10/18/1965","",211,NA,403,NA,1,103,NA,0,32,NA,32,NA,0,12,2,1,2,3,0,1,0,0,30060,3,2,0,5,1,3,369,"",92,90,1,8,0,"No"
"154",153,0.0377358490566038,0.00377358490566038,0,0,0,0,0,0.0188679245283019,0.105660377358491,0,0,0.00377358490566038,0,0,0.830188679245283,0,0,0,0,0,"syllabus154","1965-050","1965-050-01","1965-050-01-01","1965-050-01-01-01","2/21/1966",1,"383 U.S. 75",1965,1409,"Warren","38","ROSENBLATT v. BAER","10/20/1965","",190,NA,19,34,1,NA,NA,0,302,34,300,34,0,11,2,1,1,4,0,1,0,0,30030,3,2,0,2,NA,2,200,"",92,90,1,8,1,"No"
"155",154,0,0.17910447761194,0.0149253731343284,0,0.0746268656716418,0.0149253731343284,0,0.17910447761194,0,0.0149253731343284,0.0149253731343284,0.0895522388059701,0,0.0149253731343284,0,0,0,0.402985074626866,0,0,"syllabus155","1965-068","1965-068-01","1965-068-01-01","1965-068-01-01-01","3/21/1966",7,"383 U.S. 413",1965,1409,"Warren","368","A BOOK NAMED 'JOHN CLELAND'S MEMOIRS OF A WOMAN OF PLEASURE' et al. v. ATTORNEY GENERAL OF MASSACHUSETTS","12/7/1965","",112,NA,19,26,2,NA,NA,0,302,26,300,26,0,1,2,1,1,3,0,1,0,0,30190,3,2,0,2,NA,2,200,"",92,90,1,6,3,"No"
"156",155,0,0,0.00699300699300699,0,0,0.00699300699300699,0,0.125874125874126,0,0,0,0,0.013986013986014,0.00699300699300699,0.118881118881119,0,0,0.622377622377622,0.0979020979020979,0,"syllabus156","1965-069","1965-069-01","1965-069-01-01","1965-069-01-01-01","3/21/1966",1,"383 U.S. 463",1965,1409,"Warren","42","GINZBURG et al. v. UNITED STATES","12/7/1965","",220,NA,27,NA,1,NA,NA,0,109,NA,23,NA,0,12,2,1,1,2,0,0,0,0,30200,3,1,0,4,NA,6,600,"18 U.S.C. § 1461",92,90,1,5,4,"No"
"157",156,0.0337078651685393,0,0.0224719101123595,0,0,0,0.0112359550561798,0,0.0561797752808989,0,0,0,0,0.348314606741573,0.112359550561798,0,0,0.415730337078652,0,0,"syllabus157","1965-070","1965-070-01","1965-070-01-01","1965-070-01-01-01","3/21/1966",1,"383 U.S. 502",1965,1409,"Warren","49","MISHKIN v. NEW YORK","12/7/1965","",220,NA,28,37,2,NA,NA,0,302,37,300,37,0,1,2,1,1,2,0,0,0,0,30190,3,1,0,2,NA,2,200,"",92,90,1,6,3,"No"
"158",157,0,0,0,0.00826446280991736,0,0,0,0,0.00826446280991736,0,0,0.0247933884297521,0,0.247933884297521,0.413223140495868,0,0.297520661157025,0,0,0,"syllabus158","1965-103","1965-103-01","1965-103-01-01","1965-103-01-01-01","5/16/1966",1,"384 U.S. 195",1965,1409,"Warren","619","ASHTON v. KENTUCKY","4/28/1966","",218,NA,28,21,1,NA,NA,0,302,21,300,21,1,12,2,1,1,3,0,1,0,0,30030,3,2,0,2,NA,2,200,"",81,90,1,9,0,"No"
"159",158,0.00917431192660551,0.00917431192660551,0,0,0.0458715596330275,0,0,0.036697247706422,0,0,0.18348623853211,0,0.073394495412844,0.458715596330275,0.174311926605505,0,0,0,0.00917431192660551,0,"syllabus159","1965-105","1965-105-01","1965-105-01-01","1965-105-01-01-01","5/23/1966",1,"384 U.S. 214",1965,1409,"Warren","597","MILLS v. ALABAMA","4/19/1966","",226,NA,28,1,2,NA,NA,0,302,1,300,1,0,1,4,1,3,4,0,1,0,0,30010,3,2,0,2,NA,NA,NA,"",78,90,1,9,0,"No"
"160",159,0,0,0,0.008,0,0,0.008,0.08,0,0.008,0,0,0,0.376,0,0.008,0.336,0,0.056,0.12,"syllabus160","1966-005","1966-005-01","1966-005-01-01","1966-005-01-01-01","11/14/1966",1,"385 U.S. 39",1966,1409,"Warren","19","ADDERLEY et al. v. FLORIDA","10/18/1966","",223,NA,28,12,1,NA,NA,0,302,12,301,12,0,11,2,1,1,2,0,0,0,0,30150,3,1,0,2,7,2,200,"",78,78,1,5,4,"No"
"161",160,0,0,0,0,0,0.0954356846473029,0.356846473029046,0.211618257261411,0.012448132780083,0,0,0,0.024896265560166,0.244813278008299,0.0539419087136929,0,0,0,0,0,"syllabus161","1966-012","1966-012-01","1966-012-01-01","1966-012-01-01-01","12/5/1966",1,"385 U.S. 116",1966,1409,"Warren","87","BOND et al. v. FLOYD et al.","11/10/1966","",211,NA,17,13,2,NA,NA,1,60,NA,60,NA,1,1,NA,1,1,3,0,1,0,0,30010,3,2,0,2,NA,2,200,"",90,90,1,9,0,"No"
"162",161,0,0,0,0,0,0,0.00343642611683849,0.0274914089347079,0.0756013745704467,0.0171821305841924,0,0.00687285223367698,0,0.168384879725086,0.690721649484536,0,0.00687285223367698,0.00343642611683849,0,0,"syllabus162","1966-031","1966-031-01","1966-031-01-01","1966-031-01-01-01","1/9/1967",1,"385 U.S. 374",1966,1409,"Warren","22","TIME, INC. v. HILL","4/27/1966","10/18/1966",178,NA,174,NA,2,NA,NA,0,302,37,300,37,1,1,2,1,1,5,0,1,0,0,30040,3,2,0,2,NA,2,200,"",92,78,1,5,4,"No"
"163",162,0.164265129682997,0,0.178674351585014,0.069164265129683,0,0,0,0.0951008645533141,0,0,0,0.00864553314121038,0,0.478386167146974,0,0,0.00288184438040346,0.00288184438040346,0,0,"syllabus163","1966-044","1966-044-01","1966-044-01-01","1966-044-01-01-01","1/23/1967",1,"385 U.S. 589",1966,1409,"Warren","105","KEYISHIAN et al. v. BOARD OF REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK et al.","11/17/1966","",8,37,26,37,2,NA,NA,1,97,NA,97,NA,0,1,NA,1,3,4,0,1,1,0,30110,3,2,0,2,NA,2,200,"",92,90,1,5,4,"Yes"
"164",163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.0625,0,0,0,0,0,"syllabus164","1966-093","1966-093-01","1966-093-01-01","1966-093-01-01-01","5/8/1967",6,"386 U.S. 773",1966,1409,"Warren","399","TURNER et al. v. NEW YORK","4/12/1967","",218,NA,28,37,1,NA,NA,0,302,37,300,37,0,12,2,1,1,9,0,0,0,0,30150,3,1,0,3,NA,5,508,"",NA,90,1,7,2,"No"
"165",164,0,0,0.0537974683544304,0.0348101265822785,0,0.00316455696202532,0,0.104430379746835,0,0,0,0.00316455696202532,0,0.0759493670886076,0.721518987341772,0,0,0.00316455696202532,0,0,"syllabus165","1966-123","1966-123-01","1966-123-01-01","1966-123-01-01-01","6/12/1967",7,"388 U.S. 130",1966,1409,"Warren","37","CURTIS PUBLISHING CO. v. BUTTS","2/23/1967","",220,NA,174,NA,1,NA,NA,0,60,NA,25,NA,1,11,2,1,1,2,0,0,0,0,30030,3,1,0,2,3,2,200,"",91,90,1,5,4,"No"
"166",165,0,0,0,0,0,0,0,0.0711111111111111,0,0,0,0.155555555555556,0,0.524444444444444,0,0,0,0,0,0.248888888888889,"syllabus166","1966-128","1966-128-01","1966-128-01-01","1966-128-01-01-01","6/12/1967",1,"388 U.S. 307",1966,1409,"Warren","249","WALKER et al. v. CITY OF BIRMINGHAM","3/13/1967","",223,NA,3,1,1,NA,NA,0,302,1,300,1,0,12,2,1,1,2,0,0,0,0,30150,3,1,0,3,NA,NA,NA,"",94,78,1,5,4,"No"
"167",166,0.034965034965035,0,0.111888111888112,0,0,0,0.0559440559440559,0.041958041958042,0.0629370629370629,0.00699300699300699,0.041958041958042,0.0979020979020979,0,0.545454545454545,0,0,0,0,0,0,"syllabus167","1967-014","1967-014-01","1967-014-01-01","1967-014-01-01-01","11/16/1967",1,"389 U.S. 54",1967,1410,"Warren","25","WHITEHILL v. ELKINS, PRESIDENT, UNIVERSITY OF MARYLAND, et al.","10/16/1967","",8,25,26,25,2,NA,NA,1,79,NA,79,NA,0,1,NA,1,3,3,0,1,0,0,30090,3,2,0,2,NA,2,200,"",81,90,1,6,3,"No"
"168",167,0.34375,0,0,0,0.0078125,0,0,0.0078125,0.0390625,0.0234375,0,0,0,0.5703125,0.0078125,0,0,0,0,0,"syllabus168","1967-030","1967-030-01","1967-030-01-01","1967-030-01-01-01","12/5/1967",1,"389 U.S. 217",1967,1410,"Warren","33","UNITED MINE WORKERS OF AMERICA, DISTRICT 12 v. ILLINOIS STATE BAR ASSOCIATION et al.","10/17/1967","",249,NA,216,NA,1,NA,NA,0,302,17,300,17,0,13,2,1,1,5,0,1,0,0,30010,3,2,0,2,NA,2,200,"",78,90,1,8,1,"No"
"169",168,0,0.00763358778625954,0.083969465648855,0.0229007633587786,0,0.0305343511450382,0.190839694656489,0.274809160305344,0.0534351145038168,0,0,0,0,0.32824427480916,0,0,0,0,0,0.00763358778625954,"syllabus169","1967-059","1967-059-01","1967-059-01-01","1967-059-01-01-01","1/16/1968",1,"390 U.S. 17",1967,1410,"Warren","196","SCHNEIDER v. SMITH, COMMANDANT, UNITED STATES COAST GUARD","12/12/1967","",177,NA,19,60,2,77,NA,1,129,NA,129,NA,0,1,9,1,1,3,0,1,0,0,30060,3,2,0,4,1,2,201,"",81,90,1,8,0,"No"
"170",169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903225806451613,0,0.0967741935483871,0,0,0,0,"syllabus170","1967-060","1967-060-01","1967-060-01-01","1967-060-01-01-01","1/22/1968",2,"390 U.S. 29",1967,1410,"Warren","502 M","EPTON v. NEW YORK","","",223,NA,28,37,1,NA,NA,0,302,37,300,37,0,12,NA,1,1,9,0,0,0,0,30150,3,1,0,3,NA,NA,NA,"",NA,90,1,8,1,"No"
"171",170,0,0,0.00571428571428571,0.00571428571428571,0,0,0,0.177142857142857,0.04,0,0.0171428571428571,0.0857142857142857,0,0.314285714285714,0.00571428571428571,0.0114285714285714,0.234285714285714,0,0.00571428571428571,0.0971428571428571,"syllabus171","1967-105","1967-105-01","1967-105-01-01","1967-105-01-01-01","4/22/1968",1,"390 U.S. 611",1967,1410,"Warren","699","CAMERON et al. v. JOHNSON, GOVERNOR OF MISSISSIPPI, et al.","3/5/1968","",223,NA,19,29,2,NA,NA,1,85,NA,85,NA,1,1,9,1,1,2,0,0,0,0,30150,3,1,0,2,NA,2,200,"",92,90,1,7,2,"No"
"172",171,0.021551724137931,0,0,0.0172413793103448,0.0258620689655172,0,0,0,0.0431034482758621,0,0.0431034482758621,0.00431034482758621,0,0.228448275862069,0,0,0,0.612068965517241,0,0.00431034482758621,"syllabus172","1967-106","1967-106-01","1967-106-01-01","1967-106-01-01-01","4/22/1968",1,"390 U.S. 629",1967,1410,"Warren","47","GINSBERG v. NEW YORK","1/16/1968","",117,NA,28,37,2,NA,NA,0,302,37,301,37,0,1,2,1,1,2,0,0,0,0,30190,3,1,0,2,NA,2,200,"",92,90,1,6,3,"Yes"
"173",172,0,0.00816326530612245,0.0897959183673469,0,0,0,0,0.0408163265306122,0,0,0,0.224489795918367,0.00816326530612245,0.00816326530612245,0.00816326530612245,0,0.0693877551020408,0.383673469387755,0,0.159183673469388,"syllabus173","1967-107","1967-107-01","1967-107-01-01","1967-107-01-01-01","4/22/1968",1,"390 U.S. 676",1967,1410,"Warren","56","INTERSTATE CIRCUIT, INC. v. CITY OF DALLAS","1/15/1968","",156,NA,3,51,2,NA,NA,0,302,51,301,51,0,1,2,1,4,4,0,1,0,0,30190,3,2,0,2,NA,2,200,"",98,90,1,8,1,"No"
"174",173,0,0,0.0747126436781609,0,0.0172413793103448,0,0,0,0,0,0,0,0.00574712643678161,0,0.867816091954023,0.00574712643678161,0.0114942528735632,0,0,0.0172413793103448,"syllabus174","1967-109","1967-109-01","1967-109-01-01","1967-109-01-01-01","4/29/1968",1,"390 U.S. 727",1967,1410,"Warren","517","ST. AMANT v. THOMPSON","4/4/1968","",211,NA,19,22,1,NA,NA,0,302,22,300,22,0,12,3,1,1,4,0,1,0,0,30030,3,2,0,2,NA,2,200,"",95,90,1,8,1,"No"
"175",174,0.0434782608695652,0,0.0062111801242236,0,0,0,0.0062111801242236,0.105590062111801,0,0,0,0,0,0.142857142857143,0,0,0,0,0.0372670807453416,0.658385093167702,"syllabus175","1967-129","1967-129-01","1967-129-01-01","1967-129-01-01-01","5/20/1968",1,"391 U.S. 308",1967,1410,"Warren","478","AMALGAMATED FOOD EMPLOYEES UNION LOCAL 590 et al. v. LOGAN VALLEY PLAZA, INC., et al.","3/14/1968","",249,NA,235,NA,1,NA,NA,0,302,45,300,45,1,11,2,1,1,4,0,1,0,0,30010,3,2,0,2,NA,2,200,"",98,90,1,6,3,"No"
"176",175,0,0,0.0434782608695652,0,0,0,0,0.0434782608695652,0,0,0,0,0,0.521739130434783,0,0,0.391304347826087,0,0,0,"syllabus176","1967-134","1967-134-01","1967-134-01-01","1967-134-01-01-01","5/20/1968",2,"391 U.S. 353",1967,1410,"Warren","573 M","ZWICKER et al. v. BOLL, DISTRICT ATTORNEY OF DANE COUNTY et al.","","",239,NA,28,58,2,NA,NA,1,133,NA,133,NA,0,1,NA,1,1,2,0,0,0,0,30150,3,1,0,7,NA,NA,NA,"",NA,90,1,8,1,"No"
"177",176,0,0,0.0613026819923372,0,0.00383141762452107,0,0.0957854406130268,0.0306513409961686,0.425287356321839,0,0,0,0,0.203065134099617,0.00766283524904215,0,0.164750957854406,0.00383141762452107,0,0.00383141762452107,"syllabus177","1967-135","1967-135-01","1967-135-01-01","1967-135-01-01-01","5/27/1968",1,"391 U.S. 367",1967,1410,"Warren","232","UNITED STATES v. O'BRIEN","1/24/1968","",27,NA,142,NA,1,NA,NA,0,80,NA,21,NA,0,2,3,2,1,8,0,1,0,0,30150,3,1,0,1,NA,3,366,"",90,90,1,7,1,"Yes"
"178",177,0.420289855072464,0,0,0.106280193236715,0.00483091787439614,0,0,0.135265700483092,0.0628019323671498,0,0.00483091787439614,0,0,0,0.256038647342995,0,0,0.00966183574879227,0,0,"syllabus178","1967-149","1967-149-01","1967-149-01-01","1967-149-01-01-01","6/3/1968",1,"391 U.S. 563",1967,1410,"Warren","510","PICKERING v. BOARD OF EDUCATION OF TOWNSHIP HIGH SCHOOL DISTRICT 205, WILL COUNTY","3/27/1968","",8,17,21,17,2,117,17,0,302,17,300,17,1,1,2,1,1,4,0,1,0,0,30030,3,2,0,2,NA,2,200,"",98,90,1,8,1,"No"
"179",178,0,0,0,0.111111111111111,0,0.0238095238095238,0,0.246031746031746,0.00793650793650794,0,0.00793650793650794,0,0,0.119047619047619,0,0,0.0238095238095238,0.00793650793650794,0.412698412698413,0.0396825396825397,"syllabus179","1968-010","1968-010-01","1968-010-01-01","1968-010-01-01-01","11/17/1968",1,"393 U.S. 97",1968,1410,"Warren","7","EPPERSON et al. v. ARKANSAS","10/16/1968","",8,5,28,5,2,NA,NA,0,302,5,300,5,1,1,3,1,3,3,0,1,0,0,30170,3,2,0,2,NA,2,203,"",97,90,1,9,0,"No"
"180",179,0,0.037593984962406,0.0300751879699248,0.0150375939849624,0,0.0150375939849624,0,0.233082706766917,0.0150375939849624,0.0075187969924812,0.0526315789473684,0.345864661654135,0.0150375939849624,0.165413533834586,0,0.0225563909774436,0.037593984962406,0,0.0075187969924812,0,"syllabus180","1968-017","1968-017-01","1968-017-01-01","1968-017-01-01-01","11/19/1968",1,"393 U.S. 175",1968,1410,"Warren","6","CARROLL et al. v. PRESIDENT AND COMMISSIONERS OF PRINCESS ANNE et al.","10/21/1968","",218,NA,19,25,1,NA,NA,0,302,25,300,25,0,12,6,1,1,3,0,1,0,0,30010,3,2,0,2,NA,2,200,"",97,90,1,9,0,"No"
"181",180,0,0,0.082004555808656,0,0.00455580865603645,0,0.378132118451025,0.289293849658314,0,0,0,0.230068337129841,0,0.0136674259681093,0,0,0,0.00227790432801822,0,0,"syllabus181","1968-024","1968-024-01","1968-024-01-01","1968-024-01-01-01","12/16/1968",2,"393 U.S. 256",1968,1410,"Warren","572","CLARK, ATTORNEY GENERAL, et al. v. GABRIEL","","",27,NA,142,NA,2,107,NA,0,50,NA,50,NA,0,1,NA,2,1,4,0,1,0,0,30130,3,1,0,4,5,3,366,"",NA,90,1,8,1,"No"
"182",181,0,0.0625,0,0.1875,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,"syllabus182","1968-043","1968-043-01","1968-043-01-01","1968-043-01-01-01","2/24/1969",1,"393 U.S. 503",1968,1410,"Warren","21","TINKER et al. v. DES MOINES INDEPENDENT COMMUNITY SCHOOL DISTRICT et al.","11/12/1968","",239,NA,21,19,1,117,19,0,71,NA,28,NA,1,12,2,1,1,4,0,1,0,0,30150,3,2,0,2,NA,2,200,"",97,90,1,7,2,"Yes"
"183",182,0,0,0,0,0,0,0,0,0.0188679245283019,0,0,0,0,0.584905660377358,0,0,0.358490566037736,0.0188679245283019,0,0.0188679245283019,"syllabus183","1968-052","1968-052-01","1968-052-01-01","1968-052-01-01-01","3/10/1969",1,"394 U.S. 111",1968,1410,"Warren","60","GREGORY et al. v. CITY OF CHICAGO","12/10/1968","",223,NA,3,17,1,NA,NA,0,302,17,300,17,0,12,2,1,1,3,0,1,0,1,30150,3,2,0,2,NA,2,230,"",90,90,1,9,0,"No"
"184",183,0,0,0.00480769230769231,0,0,0,0.00480769230769231,0.0625,0,0,0.00961538461538462,0.00961538461538462,0,0.375,0.00480769230769231,0,0.0528846153846154,0.00480769230769231,0,0.471153846153846,"syllabus184","1968-054","1968-054-01","1968-054-01-01","1968-054-01-01-01","3/10/1969",1,"394 U.S. 147",1968,1410,"Warren","42","SHUTTLESWORTH v. CITY OF BIRMINGHAM","11/18/1968","",223,NA,3,1,1,NA,NA,0,302,1,300,1,0,11,3,1,1,3,0,1,0,0,30150,3,2,0,2,NA,2,200,"",94,90,1,8,0,"No"
"185",184,0,0,0,0.00675675675675676,0,0.00675675675675676,0.00675675675675676,0,0.141891891891892,0,0,0,0,0.358108108108108,0.0337837837837838,0,0,0.445945945945946,0,0,"syllabus185","1968-078","1968-078-01","1968-078-01-01","1968-078-01-01-01","4/7/1969",1,"394 U.S. 557",1968,1410,"Warren","293","STANLEY v. GEORGIA","1/14/1969","",156,NA,28,13,2,NA,NA,0,302,13,300,13,0,1,2,1,3,4,0,1,0,0,30190,3,2,0,2,NA,2,200,"",98,90,1,9,0,"Yes"
"186",185,0,0.0145631067961165,0.00970873786407767,0,0.0242718446601942,0,0,0,0,0.0242718446601942,0,0.00485436893203883,0,0.383495145631068,0,0,0.538834951456311,0,0,0,"syllabus186","1968-080","1968-080-01","1968-080-01-01","1968-080-01-01-01","4/21/1969",1,"394 U.S. 576",1968,1410,"Warren","5","STREET v. NEW YORK","10/21/1968","",218,NA,28,37,2,NA,NA,0,302,37,300,37,0,1,2,1,3,4,0,1,0,0,30150,3,2,0,2,NA,2,200,"",91,81,1,5,4,"No"
"187",186,0.0078125,0,0.00260416666666667,0,0.135416666666667,0.015625,0.078125,0.161458333333333,0.0651041666666667,0,0,0.00260416666666667,0,0.015625,0.135416666666667,0,0.361979166666667,0.0182291666666667,0,0,"syllabus187","1968-084","1968-084-01","1968-084-01-01","1968-084-01-01-01","4/21/1969",2,"394 U.S. 705",1968,1410,"Warren","1107 M","WATTS v. UNITED STATES","","",218,NA,27,NA,1,NA,NA,0,55,NA,32,NA,1,12,2,1,1,4,0,1,0,0,30010,3,2,0,4,NA,6,600,"18 U.S.C. § 871",NA,90,1,5,4,"No"
"188",187,0,0.00371747211895911,0,0,0,0,0,0,0.144981412639405,0.479553903345725,0.104089219330855,0,0,0.234200743494424,0.00371747211895911,0,0.00371747211895911,0,0.0185873605947955,0.00743494423791822,"syllabus188","1968-121","1968-121-01","1968-121-01-01","1968-121-01-01-01","6/9/1969",1,"395 U.S. 367",1968,1411,"Warren","2","RED LION BROADCASTING CO., INC., et al. v. FEDERAL COMMUNICATIONS COMMISSION et al.","4/2/1969","",221,NA,338,NA,1,38,NA,0,32,NA,32,NA,0,12,2,2,1,2,0,0,0,0,30010,3,2,0,5,1,2,200,"",95,90,1,7,0,"Yes"
"189",188,0,0,0,0,0.0187861271676301,0.00433526011560694,0,0.0101156069364162,0.0346820809248555,0.00144508670520231,0,0.00289017341040462,0,0.437861271676301,0,0,0.488439306358382,0,0.00144508670520231,0,"syllabus189","1968-124","1968-124-01","1968-124-01-01","1968-124-01-01-01","6/9/1969",6,"395 U.S. 444",1968,1411,"Warren","492","BRANDENBURG v. OHIO","2/27/1969","",218,NA,28,41,2,NA,NA,0,302,41,300,41,0,1,9,1,3,3,0,1,1,0,30010,3,2,0,2,NA,2,200,"",NA,90,1,8,0,"Yes"
"190",189,0.0114285714285714,0,0.222857142857143,0,0,0,0.0571428571428571,0.348571428571429,0.08,0.0114285714285714,0,0,0,0,0.0685714285714286,0,0.177142857142857,0.0228571428571429,0,0,"syllabus190","1969-007","1969-007-01","1969-007-01-01","1969-007-01-01-01","12/8/1969",1,"396 U.S. 64",1969,1501,"Burger","35","BRYSON v. UNITED STATES","10/14/1969","",126,NA,27,NA,1,NA,NA,0,50,NA,29,NA,0,12,3,1,1,2,0,0,0,0,30060,3,1,0,4,NA,6,600,"18 U.S.C. § 1001",91,99,1,6,2,"No"
